length : 10000
struct size : 100
,A.ìsìxämï€,B.àÍãìämï€,C.ê‹íèàƒ
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,1,0
600,0,0,0
700,0,0,0
800,0,0,0
900,0,0,0
1000,0,0,0
1100,1,0,0
1200,0,0,0
1300,0,0,0
1400,1,0,0
1500,0,0,0
1600,0,0,0
1700,1,0,0
1800,0,0,0
1900,0,0,0
2000,1,0,0
2100,0,0,0
2200,0,0,1
2300,0,0,0
2400,0,0,0
2500,1,0,0
2600,0,0,0
2700,1,0,0
2800,0,0,0
2900,1,0,0
3000,0,0,0
3100,1,0,0
3200,1,0,0
3300,1,0,0
3400,1,0,0
3500,1,0,0
3600,0,1,0
3700,0,0,0
3800,1,0,0
3900,1,0,0
4000,2,0,0
4100,1,0,0
4200,2,0,0
4300,3,0,0
4400,3,0,0
4500,3,0,1
4600,3,0,1
4700,3,0,1
4800,4,0,1
4900,5,0,0
5000,5,0,0
5100,1,1,0
5200,1,0,1
5300,2,1,0
5400,2,0,0
5500,3,0,0
5600,3,0,1
5700,3,0,1
5800,4,0,0
5900,5,0,0
6000,5,0,1
6100,7,0,0
6200,6,1,0
6300,6,0,1
6400,7,1,0
6500,8,0,1
6600,10,0,0
6700,9,0,1
6800,9,1,0
6900,10,0,1
7000,10,1,0
7100,13,1,0
7200,15,0,1
7300,13,0,1
7400,17,0,1
7500,16,1,0
7600,18,0,1
7700,14,1,0
7800,16,0,1
7900,16,1,1
8000,16,1,0
8100,18,0,1
8200,18,1,1
8300,21,0,2
8400,27,0,2
8500,26,0,2
8600,25,0,1
8700,23,0,1
8800,22,1,1
8900,26,0,1
9000,26,0,1
9100,25,0,1
9200,26,0,1
9300,27,0,1
9400,28,0,2
9500,28,0,1
9600,29,0,2
9700,29,0,2
9800,30,0,1
9900,31,1,1
