length : 100
struct size : 10000
,A.ìsìxämï€,B.àÍãìämï€,C.ê‹íèàƒ
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,1
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,1
32,0,0,0
33,0,0,0
34,0,0,1
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,1
42,1,0,0
43,1,1,0
44,2,0,0
45,2,0,0
46,2,0,0
47,3,0,0
48,2,0,0
49,3,0,0
50,3,0,0
51,0,0,0
52,1,0,0
53,0,0,1
54,0,0,1
55,0,1,0
56,1,0,0
57,1,0,1
58,1,1,0
59,1,0,1
60,2,0,0
61,2,0,1
62,2,0,1
63,2,0,1
64,3,0,1
65,3,0,0
66,4,0,0
67,4,0,0
68,4,0,1
69,4,0,0
70,5,0,1
71,4,0,1
72,5,0,1
73,7,0,1
74,5,0,1
75,5,1,0
76,6,0,1
77,6,0,1
78,6,0,1
79,7,0,1
80,6,0,1
81,7,0,2
82,7,0,1
83,8,0,1
84,8,1,1
85,8,0,1
86,9,0,1
87,9,0,2
88,9,1,0
89,11,0,1
90,10,1,1
91,10,0,1
92,11,0,1
93,13,0,2
94,13,0,1
95,12,0,2
96,12,0,1
97,13,0,1
98,12,0,2
99,13,0,2
